Type,ID,TimeStamp,Bus,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1,0x303,6.46,0,8,00,00,00,00,9A,29,14,43
1,0x521,6.486,0,6,00,08,0F,00,00,00,00,01
1,0x303,6.509,0,8,00,00,00,00,79,D3,14,43
1,0x0,6.532,0,8,00,00,00,00,00,00,00,28
1,0x304,6.555,0,8,00,00,00,00,00,00,00,00
1,0x170,6.579,0,3,01,00,00,41,90,DC,EA,41
1,0x304,6.602,0,8,00,00,00,00,00,00,00,00
1,0x305,6.625,0,8,00,00,00,00,00,00,00,00
1,0x304,6.648,0,8,00,00,00,00,00,00,00,00
1,0x171,6.671,0,8,00,00,00,00,01,00,00,01
1,0x305,6.694,0,8,00,00,00,00,00,00,00,00
1,0x0,6.72,0,8,00,00,00,00,00,00,00,28
1,0x3,6.743,0,8,00,33,1D,00,00,00,00,00
1,0x207,6.766,0,8,2C,02,84,00,94,A4,00,00
1,0x521,6.79,0,6,00,0B,0F,00,00,00,00,00
1,0x303,6.813,0,8,00,00,00,00,1D,22,1C,43
1,0x0,6.836,0,8,00,00,00,00,00,00,00,28
1,0x20C,6.859,0,2,2C,FF,00,00,00,00,00,00
1,0x521,6.882,0,6,00,0C,03,00,00,00,00,01
1,0x303,6.906,0,8,00,00,00,00,20,29,1C,43
1,0x305,6.929,0,8,00,00,00,00,00,00,00,00
1,0x304,6.954,0,8,00,00,00,00,00,00,00,00
1,0x170,6.977,0,3,01,00,00,41,E0,F9,E9,41
1,0x304,7.001,0,8,00,00,00,00,00,00,00,00
1,0x208,7.024,0,2,2D,FF,77,77,77,78,77,FF
1,0x8,7.047,0,8,75,78,76,00,00,00,00,00
1,0x171,7.07,0,8,00,00,00,00,01,00,00,01
1,0x305,7.093,0,8,00,00,00,00,00,00,00,00
1,0x0,7.116,0,8,00,00,00,00,00,00,00,28
1,0x7,7.139,0,8,00,00,00,00,00,00,00,37
1,0x302,7.162,0,8,C1,41,B8,41,E0,F9,E9,41
1,0x521,7.185,0,6,00,0F,00,00,00,00,E9,41
1,0x303,7.211,0,8,00,00,00,00,59,2B,1C,43
1,0x0,7.234,0,8,00,00,00,00,00,00,00,28
1,0x303,7.257,0,8,00,00,00,00,B6,2A,1C,43
1,0x171,7.281,0,8,00,00,00,00,01,00,00,01
1,0x303,7.304,0,8,00,00,00,00,90,26,1C,43
1,0x0,7.327,0,8,00,00,00,00,00,00,00,28
1,0x304,7.35,0,8,00,00,00,00,00,00,00,00
1,0x170,7.373,0,3,01,00,00,41,E0,F9,E9,41
1,0x304,7.397,0,8,00,00,00,00,00,00,00,00
1,0x305,7.42,0,8,00,00,00,00,00,00,00,00
1,0x7,7.445,0,8,00,00,00,00,00,00,00,37
1,0x171,7.468,0,8,00,00,00,00,01,00,00,01
1,0x305,7.491,0,8,00,00,00,00,00,00,00,00
1,0x305,7.514,0,8,00,00,00,00,00,00,00,00
1,0x106,7.537,0,8,00,00,00,00,00,00,00,00
1,0x3,7.561,0,8,00,33,1D,00,00,00,00,00
1,0x305,7.585,0,8,00,00,00,00,00,00,00,00
1,0x303,7.608,0,8,00,00,00,00,72,1B,1C,43
1,0x305,7.631,0,8,00,00,00,00,00,00,00,00
1,0x9,7.654,0,8,B3,CF,BF,00,00,3D,21,00
1,0x171,7.68,0,8,00,00,00,00,01,00,00,01
1,0x207,7.703,0,8,2E,02,81,00,91,A1,00,00
1,0x305,7.727,0,8,00,00,00,00,00,00,00,00
1,0x6,7.75,0,8,FF,FF,01,50,99,99,00,00
1,0x170,7.773,0,3,01,00,00,41,90,17,E9,41
1,0x304,7.796,0,8,00,00,00,00,00,00,00,00
1,0x305,7.82,0,8,00,00,00,00,00,00,00,00
1,0x304,7.843,0,8,00,00,00,00,00,00,00,00
1,0x0,7.866,0,8,00,00,00,00,00,00,00,28
1,0x305,7.89,0,8,00,00,00,00,00,00,00,00
1,0x305,7.923,0,8,00,00,00,00,00,00,00,00
1,0x106,7.954,0,8,00,00,00,00,00,00,00,00
1,0x20C,7.978,0,2,2F,FF,00,78,00,B0,04,00
1,0x305,8.001,0,8,00,00,00,00,00,00,00,00
1,0x303,8.024,0,8,00,00,00,00,D1,25,1C,43
1,0x305,8.047,0,8,00,00,00,00,00,00,00,00
1,0x207,8.07,0,8,30,03,86,00,96,A6,00,00
1,0x171,8.093,0,8,00,00,E9,8C,01,00,00,01
1,0x303,8.117,0,8,00,00,00,00,34,20,1C,43
1,0x208,8.14,0,2,30,FF,B7,41,60,CB,E3,41
1,0x302,8.163,0,8,BB,25,B7,41,10,AD,E4,41
1,0x521,8.188,0,6,00,09,0F,00,00,00,00,00
1,0x214,8.211,0,2,30,FF,B7,41,10,AD,E4,41
1,0x214,8.234,0,2,30,FF,77,76,77,76,77,FF
1,0x171,8.258,0,8,00,00,16,B4,01,00,00,01
1,0x305,8.282,0,8,00,00,00,00,00,00,00,00
1,0x303,8.305,0,8,00,00,00,00,EE,27,1C,43
1,0x305,8.328,0,8,00,00,00,00,00,00,00,00
1,0x303,8.351,0,8,00,00,00,00,40,1A,1C,43
1,0x170,8.374,0,3,01,00,00,41,10,AD,E4,41
