Type,ID,TimeStamp,Bus,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1,0x303,161.576,0,8,00,00,00,00,F7,C0,95,42
1,0x0,161.59,0,8,00,00,00,00,00,02,00,28
1,0x2,161.603,0,8,78,79,78,00,00,00,00,00
1,0x304,161.617,0,8,77,5D,31,BD,00,00,00,00
1,0x303,161.63,0,8,00,00,00,00,FE,A7,95,42
1,0x208,161.644,0,2,FE,FF,00,00,00,00,00,00
1,0x209,161.657,0,8,FE,79,00,79,00,BA,04,00
1,0x304,161.671,0,8,77,5D,31,BD,00,00,00,00
1,0x210,161.687,0,2,FE,FF,00,00,40,39,00,00
1,0x2,161.7,0,8,78,79,78,00,00,00,00,00
1,0x304,161.714,0,8,77,5D,31,BD,00,00,00,00
1,0x303,161.727,0,8,00,00,00,00,45,86,95,42
1,0x305,161.741,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,161.754,0,8,00,00,00,00,00,00,00,00
1,0x171,161.768,0,8,00,00,4B,1B,01,00,01,01
1,0x7FF,161.781,0,8,01,00,00,00,00,00,00,00
1,0x0,161.795,0,8,00,00,00,00,00,02,00,28
1,0x305,161.808,0,8,00,57,AA,3D,02,17,9F,C0
1,0x521,161.824,0,6,00,08,F4,FF,FF,FF,00,00
1,0x600,161.838,0,8,02,00,00,FF,00,FF,00,FF
1,0x208,161.851,0,2,FF,FF,00,00,40,39,00,00
1,0x208,161.865,0,2,FF,FF,00,00,00,00,00,00
1,0x20C,161.878,0,2,FF,FF,31,BD,00,00,00,00
1,0x210,161.892,0,2,FF,FF,FF,FF,FF,FF,0D,42
1,0x6,161.905,0,8,FF,FF,01,14,99,99,00,00
1,0x304,161.919,0,8,79,5D,31,BD,00,00,00,00
1,0x214,161.932,0,2,FF,FF,C8,41,90,BB,0D,42
1,0x214,161.946,0,2,FF,FF,FF,00,00,00,6A,22
1,0x304,161.962,0,8,77,5D,31,BD,00,00,00,00
1,0x303,161.975,0,8,00,00,00,00,DC,1A,95,42
1,0x305,161.989,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.002,0,8,00,00,00,00,00,00,00,00
1,0x304,162.016,0,8,78,5D,31,BD,00,00,00,00
1,0x7FF,162.029,0,8,01,00,00,00,00,00,00,00
1,0x305,162.043,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.056,0,8,00,00,00,00,00,00,00,00
1,0x303,162.07,0,8,00,00,00,00,5C,E8,94,42
1,0x0,162.083,0,8,00,00,00,00,00,02,00,28
1,0x7,162.099,0,8,00,00,00,00,00,00,00,37
1,0x304,162.113,0,8,77,5D,31,BD,00,00,00,00
1,0x521,162.126,0,6,00,0B,FD,FF,FF,FF,00,00
1,0x305,162.14,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.153,0,8,00,00,00,00,00,00,00,00
1,0x304,162.167,0,8,77,5D,31,BD,00,00,00,00
1,0x305,162.18,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.194,0,8,00,00,00,00,00,00,00,00
1,0x304,162.207,0,8,78,5D,31,BD,00,00,00,00
1,0x3,162.221,0,8,00,00,00,00,00,00,00,00
1,0x305,162.237,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.25,0,8,00,00,00,00,00,00,00,00
1,0x700,162.264,0,8,FF,00,FF,00,00,00,6A,22
1,0x0,162.277,0,8,00,00,00,00,00,02,00,28
1,0x7,162.291,0,8,00,00,00,00,00,00,00,37
1,0x5,162.304,0,8,00,00,00,BC,00,22,6A,64
1,0x303,162.318,0,8,00,00,00,00,A8,84,94,42
1,0x305,162.331,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.345,0,8,00,00,00,00,00,00,00,00
1,0x600,162.358,0,8,02,00,00,FF,00,FF,00,FF
1,0x303,162.374,0,8,00,00,00,00,5F,67,94,42
1,0x305,162.388,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.401,0,8,00,00,00,00,00,00,00,00
1,0x304,162.415,0,8,78,5D,31,BD,00,00,00,00
1,0x305,162.428,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.442,0,8,00,00,00,00,00,00,00,00
1,0x304,162.465,0,8,77,5D,31,BD,00,00,00,00
1,0x170,162.493,0,3,00,00,00,BD,00,00,00,00
1,0x0,162.507,0,8,00,00,00,00,00,02,00,28
1,0x7,162.52,0,8,00,00,00,00,00,00,00,37
1,0x304,162.536,0,8,77,5D,31,BD,00,00,00,00
1,0x521,162.55,0,6,00,0F,FD,FF,FF,FF,0D,42
1,0x305,162.563,0,8,00,57,AA,3D,02,17,9F,C0
1,0x106,162.577,0,8,00,00,00,00,00,00,00,00
1,0x171,162.59,0,8,00,00,43,0E,01,00,01,01
1,0x0,162.604,0,8,00,00,00,00,00,02,00,28
1,0x6,162.617,0,8,FF,FF,01,14,99,99,00,00
1,0x211,162.631,0,8,00,9D,08,B1,02,73,06,00
1,0x215,162.644,0,8,00,9C,02,B0,09,7F,06,00
1,0x304,162.658,0,8,77,5D,31,BD,00,00,00,00
1,0x302,162.674,0,8,0B,99,C7,41,68,46,0D,42
1,0x13C033C6,162.687,0,1,00,99,C7,41,68,46,0D,42
1,0x6,162.701,0,8,FF,FF,01,14,99,99,00,00
1,0x7FC,162.714,0,8,40,39,00,00,40,39,00,00
1,0x521,162.728,0,6,00,01,F4,FF,FF,FF,00,00
1,0x305,162.741,0,8,00,57,AA,3D,02,17,9F,C0
1,0x304,162.755,0,8,77,5D,31,BD,00,00,00,00
1,0x171,162.768,0,8,00,00,67,1D,01,00,01,01
1,0x0,162.782,0,8,00,00,00,00,00,02,00,28
1,0x7,162.795,0,8,00,00,00,00,00,00,00,37
1,0x20D,162.818,0,8,01,78,00,78,00,B0,04,00
1,0x521,162.834,0,6,00,02,F4,FF,FF,FF,0D,42
1,0x214,162.847,0,2,01,FF,C7,3C,02,00,0D,42
1,0x305,162.861,0,8,00,57,AA,3D,02,17,9F,C0
1,0x600,162.874,0,8,02,00,00,FF,00,FF,00,FF
1,0x0,162.888,0,8,00,00,00,00,00,02,00,28
