#datatype measurement,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#group false,false,false,false,false,false,false,false,false,false,false,false,false,false
#default _result,,,,,,,,,,,,,
tempoDoSistema,power,motor_power,torque,motor_rpm,voltage,motor_temp,controller_temp,accelerator,ready_to_drive,torque_request_disable,test_mode,regen_request,brake
21.898,0,0,-1000.0,-1000,1.2,32.3,31.4,0.0,0,1,1,0,0
21.94,0,0,-1000.0,-1000,1.2,32.3,31.4,0.0,0,1,1,0,0
22.044,0,0,-1000.0,-1000,0.9,32.3,31.4,0.0,0,1,1,0,0
22.102,0,0,-1000.0,-1000,0.9,32.3,31.4,0.0,0,1,1,0,0
22.167,0,0,-1000.0,-1000,0.9,32.3,31.4,0.0,0,1,1,0,0
22.218,0,0,-1000.0,-1000,0.9,32.3,31.4,0.0,0,1,1,0,0
22.274,0,0,-1000.0,-1000,1.0,32.3,31.5,0.0,0,1,1,0,0
22.36,0,0,-1000.0,-1000,1.0,32.3,31.5,0.0,0,1,1,0,0
22.423,0,0,-1000.0,-1000,1.0,32.3,31.5,0.0,0,1,1,0,0
22.485,0,0,-1000.0,-1000,1.0,32.3,31.5,0.0,0,1,1,0,0
22.548,0,0,-1000.0,-1000,1.0,32.3,31.5,0.0,0,1,1,0,0
22.592,0,0,-1000.0,-1000,0.9,32.2,31.8,0.0,0,1,1,0,0
22.634,0,0,-1000.0,-1000,0.9,32.2,31.8,0.0,0,1,1,0,0
22.697,0,0,-1000.0,-1000,0.9,32.2,31.8,0.0,0,1,1,0,0
22.739,0,0,-1000.0,-1000,0.9,32.2,31.8,0.0,0,1,1,0,0
22.846,0,0,-1000.0,-1000,0.9,32.2,31.8,0.0,0,1,1,0,0
22.887,0,0,-1000.0,-1000,0.9,32.2,31.8,0.0,0,1,1,0,0
22.992,0,0,-1000.0,-1000,0.8,32.2,31.9,0.0,0,1,1,0,0
23.041,0,0,-1000.0,-1000,0.8,32.2,31.9,0.0,0,1,1,0,0
23.146,0,0,-1000.0,-1000,0.8,32.2,31.9,0.0,0,1,1,0,0
23.187,0,0,-1000.0,-1000,0.8,32.2,31.9,0.0,0,1,1,0,0
23.294,0,0,-1000.0,-1000,0.8,32.3,31.8,0.0,0,1,1,0,0
23.336,0,0,-1000.0,-1000,0.8,32.3,31.8,0.0,0,1,1,0,0
23.443,0,0,-1000.0,-1000,0.8,32.3,31.8,0.0,0,1,1,0,0
23.485,0,0,-1000.0,-1000,0.8,32.3,31.8,0.0,0,1,1,0,0
23.589,0,0,-1000.0,-1000,1.5,32.3,31.8,0.0,0,1,1,0,0
23.631,0,0,-1000.0,-1000,1.6,32.3,31.8,0.0,0,1,1,0,0
23.696,0,0,-1000.0,-1000,1.6,32.3,31.8,0.0,0,1,1,0,0
23.738,0,0,-1000.0,-1000,1.0,32.3,31.6,0.0,0,1,1,0,0
23.842,0,0,-1000.0,-1000,1.0,32.3,31.6,0.0,0,1,1,0,0
23.887,0,0,-1000.0,-1000,1.0,32.3,31.6,0.0,0,1,1,0,0
23.991,0,0,-1000.0,-1000,1.0,32.3,31.6,0.0,0,1,1,0,0
24.033,0,0,-1000.0,-1000,0.8,32.4,31.6,0.0,0,1,1,0,0
24.14,0,0,-1000.0,-1000,0.8,32.4,31.6,0.0,0,1,1,0,0
24.182,0,0,-1000.0,-1000,0.9,32.4,31.6,0.0,0,1,1,0,0
24.245,0,0,-1000.0,-1000,0.9,32.4,31.6,0.0,0,1,1,0,0
24.287,0,0,-1000.0,-1000,0.9,32.4,31.9,0.0,0,1,1,0,0
24.394,0,0,-1000.0,-1000,0.9,32.4,31.9,0.0,0,1,1,0,0
24.436,0,0,-1000.0,-1000,1.1,32.2,31.9,0.0,0,1,1,0,0
24.543,0,0,-1000.0,-1000,1.1,32.2,31.9,0.0,0,1,1,0,0
24.584,0,0,-1000.0,-1000,0.9,32.2,31.9,0.0,0,1,1,0,0
24.689,0,0,-1000.0,-1000,0.9,32.2,31.9,0.0,0,1,1,0,0
24.773,0,0,-1000.0,-1000,1.0,32.1,31.9,0.0,0,1,1,0,0
24.896,0,0,-1000.0,-1000,1.0,32.1,31.9,0.0,0,1,1,0,0
25.001,0,0,-1000.0,-1000,1.2,32.1,31.9,0.0,0,1,1,0,0
25.087,0,0,-1000.0,-1000,0.9,32.1,31.9,0.0,0,1,1,0,0
25.191,0,0,-1000.0,-1000,0.9,32.1,31.9,0.0,0,1,1,0,0
25.236,0,0,-1000.0,-1000,0.9,32.1,31.9,0.0,0,1,1,0,0
25.34,0,0,-1000.0,-1000,0.9,32.1,31.9,0.0,0,1,1,0,0
25.382,0,0,-1000.0,-1000,0.7,32.1,31.9,0.0,0,1,1,0,0
25.496,0,0,-1000.0,-1000,0.7,32.1,31.9,0.0,0,1,1,0,0
25.538,0,0,-1000.0,-1000,0.8,32.0,31.9,0.0,0,1,1,0,0
25.643,0,0,-1000.0,-1000,0.8,32.0,31.9,0.0,0,1,1,0,0
25.687,0,0,-1000.0,-1000,1.4,32.0,31.9,0.0,0,1,1,0,0
25.834,0,0,-1000.0,-1000,0.9,32.0,31.9,0.0,0,1,1,0,0
25.983,0,0,-1000.0,-1000,1.2,32.0,31.5,0.0,0,1,1,0,0
26.087,0,0,-1000.0,-1000,1.2,32.0,31.5,0.0,0,1,1,0,0
26.132,0,0,-1000.0,-1000,1.2,32.0,31.5,0.0,0,1,1,0,0
26.236,0,0,-1000.0,-1000,1.2,32.0,31.5,0.0,0,1,1,0,0
26.278,0,0,-1000.0,-1000,0.8,32.0,31.4,0.0,0,1,1,0,0
26.385,0,0,-1000.0,-1000,0.8,32.0,31.4,0.0,0,1,1,0,0
26.532,0,0,-1000.0,-1000,1.0,32.0,31.4,0.0,0,1,1,0,0
26.681,0,0,-1000.0,-1000,1.2,31.9,31.4,0.0,0,1,1,0,0
