tempoDoSistema,power,motor_power,torque,motor_rpm,current,inverter_temp,motor_temp,accelerator,ready_to_drive
63.093,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
63.194,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
64.354,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.9,0.0,1
64.452,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.9,0.0,1
64.552,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.9,0.0,1
64.749,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.9,0.0,1
64.946,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.9,0.0,1
65.044,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.9,0.0,1
65.141,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
65.241,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
65.345,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
65.459,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
65.559,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
65.657,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.6,0.0,1
65.788,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.6,0.0,1
65.895,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
65.993,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
66.091,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
66.317,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
66.416,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.8,0.0,1
66.546,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.8,0.0,1
67.138,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.8,0.0,1
67.342,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
67.441,0.0,0.0,0.2999999999999545,21.0,0.0,28.9,33.7,0.0,1
67.539,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
67.639,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
67.834,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
67.934,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
68.032,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
68.13,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.6,0.0,1
69.483,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
69.598,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
69.698,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
69.926,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
70.035,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
70.146,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
70.243,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
70.344,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
70.481,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
70.579,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
70.679,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
70.776,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
70.972,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.073,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.17,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.269,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.376,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.474,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.572,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.77,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.868,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.7,0.0,1
71.965,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
72.066,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
72.164,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
72.261,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
72.369,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
72.466,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
72.662,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
72.762,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
72.86,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.0,0.0,1
72.958,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.0,0.0,1
73.063,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.0,0.0,1
73.16,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.9,0.0,1
73.463,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.9,0.0,1
73.561,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.9,0.0,1
73.659,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.8,0.0,1
73.767,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.8,0.0,1
73.873,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.9,0.0,1
73.99,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.9,0.0,1
74.091,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.9,0.0,1
74.221,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.8,0.0,1
74.357,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.8,0.0,1
74.458,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.8,0.0,1
74.751,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.8,0.0,1
74.851,0.0,0.0,0.2999999999999545,21.0,0.0,29.1,33.9,0.0,1
74.949,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.9,0.0,1
76.103,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.2,0.0,1
76.301,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.1,0.0,1
76.405,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.1,0.0,1
76.506,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.1,0.0,1
76.603,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.1,0.0,1
76.701,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.1,0.0,1
76.899,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.1,0.0,1
76.997,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,34.1,0.0,1
77.095,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.6,0.0,1
77.191,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.6,0.0,1
77.29,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.6,0.0,1
77.395,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.6,0.0,1
77.69,0.0,0.0,0.2999999999999545,21.0,0.0,29.0,33.8,0.0,1
